# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-10.531,0.97623,0.534787,1,3,0,11.1131,0.83091,0.144634
-10.5863,0.957187,0.888327,2,3,0,10.7547,0.820042,0.152512
-11.4395,0.366165,1.42842,2,3,0,11.7502,0.75524,0.196632
-10.5101,0.989069,0.360358,2,5,0,11.8805,0.841535,0.136789
-10.7745,0.830407,0.652624,2,3,0,12.6957,0.799146,0.16726
-10.7101,1,0.720273,1,1,0,10.7863,0.805189,0.163047
-10.9611,0.656691,1.36107,2,3,0,11.1763,0.78445,0.177327
-10.8058,0.863703,0.874392,1,3,0,11.6417,0.880516,0.106732
-10.5412,0.990682,1.0782,2,3,0,10.8293,0.828322,0.146523
-10.5412,0.0157033,1.96855,1,1,0,11.0362,0.828322,0.146523
-10.7933,0.991884,0.177675,3,13,0,11.9233,0.87978,0.107318
-10.5119,0.996791,0.327824,2,7,0,11.0405,0.845724,0.133656
-10.8106,0.974168,0.609021,2,5,0,10.8135,0.880793,0.10651
-10.519,0.971553,1.0476,2,3,0,10.8352,0.849567,0.130762
-10.5337,0.984988,1.77323,1,1,0,10.5501,0.853924,0.127457
-10.5337,0,3.09689,1,1,0,11.3616,0.853924,0.127457
-10.5886,0.994645,0.298578,2,5,0,10.8907,0.819704,0.152755
-10.8515,0.979949,0.539589,2,3,0,10.8809,0.792685,0.171716
-10.567,1,0.925596,2,3,0,10.8423,0.860032,0.122783
-10.567,1.52526e-05,1.66624,1,1,0,11.5326,0.860032,0.122783
-11.2256,0.992151,0.174786,3,9,0,11.9968,0.898594,0.0920697
-11.8027,0.991351,0.309137,3,7,0,12.0392,0.914066,0.0791334
-11.3613,0.973893,0.540367,2,3,0,12.578,0.902855,0.0885431
-10.5559,0.9695,0.89174,2,3,0,11.6127,0.825233,0.148768
-10.784,0.901469,1.44194,1,3,0,10.7852,0.87922,0.107765
-10.784,6.92334e-10,1.92291,1,1,0,11.3282,0.87922,0.107765
-11.1772,0.993848,0.225068,2,5,0,11.3659,0.896945,0.0934266
-11.0458,0.999487,0.388173,2,3,0,11.2253,0.892023,0.0974541
-10.5117,0.977917,0.6736,1,3,0,11.3947,0.84554,0.133794
-10.5804,0.980643,1.09476,1,3,0,10.5836,0.820972,0.151844
-10.7917,0.759343,1.77822,1,1,0,11.0224,0.797639,0.168303
-10.7917,0.117819,1.61654,1,3,0,12.3488,0.797639,0.168303
-10.7265,1,0.283268,4,15,0,10.7914,0.875459,0.110748
-10.5143,0.985477,0.482918,1,3,0,11.077,0.847367,0.132421
-10.5604,0.991829,0.787171,1,3,0,10.566,0.859029,0.123554
-10.5922,0.966098,1.29421,2,3,0,10.6273,0.819156,0.153148
-10.5179,1,1.98101,1,1,0,10.5211,0.849127,0.131095
-10.5179,0.000179316,3.27715,1,1,0,11.1078,0.849127,0.131095
-10.6587,0.983777,0.461518,2,5,0,10.8766,0.870179,0.114904
-10.6362,1,0.736132,2,7,0,10.6563,0.813281,0.15734
-10.741,0.894844,1.21314,2,3,0,10.8953,0.876457,0.109959
-10.741,0.164795,1.54161,1,1,0,12.7192,0.876457,0.109959
-10.6368,0.995608,0.341298,2,7,0,11.0465,0.813211,0.15739
-10.5862,1,0.553737,2,3,0,10.6307,0.82007,0.152492
-11.1071,0.837041,0.901817,1,1,0,11.1078,0.774634,0.183917
-11.1071,0.811225,0.996298,1,1,0,11.5736,0.774634,0.183917
-10.7406,1,1.03511,1,1,0,11.0247,0.802234,0.165112
-10.7406,0.277348,1.66273,1,1,0,10.9697,0.802234,0.165112
-10.5707,0.993825,0.505002,2,5,0,10.8961,0.860579,0.122362
-10.5252,0.992525,0.798583,1,3,0,10.6395,0.832656,0.143355
-10.8014,0.842752,1.25184,1,1,0,10.8272,0.796811,0.168875
-10.8014,0.330969,1.39235,1,1,0,11.4937,0.796811,0.168875
-12.1509,0.766191,0.491477,3,7,0,15.3208,0.921053,0.0731706
-12.1583,0.999704,0.462938,1,1,0,12.2371,0.921189,0.0730532
-10.6153,1,0.731577,2,3,0,11.9861,0.866022,0.118149
-10.6374,0.736926,1.15053,2,3,0,11.361,0.868239,0.116421
-10.8353,0.981419,1.01233,2,3,0,10.8497,0.882187,0.105396
-11.0947,0.829619,1.51798,1,1,0,11.0953,0.775433,0.183385
-10.8566,1,1.63169,1,1,0,10.8889,0.883335,0.104476
-10.8566,0,2.52766,0,1,1,12.1922,0.883335,0.104476
-10.6957,1,0.459386,2,3,0,10.8646,0.873204,0.112528
-11.9073,0.889218,0.713127,2,3,0,11.9962,0.916301,0.0772346
-11.2983,1,0.871571,1,1,0,11.8369,0.90094,0.0901316
-10.5158,1,1.34167,1,1,0,10.8909,0.848171,0.131816
-10.7407,0.749003,2.05567,1,1,0,10.8752,0.87644,0.109972
-10.6253,1,1.85987,1,1,0,10.8031,0.867056,0.117344
-10.6253,8.74609e-06,2.83175,1,3,0,10.6253,0.867056,0.117344
-12.2539,0.903959,0.547766,2,5,0,12.311,0.922899,0.0715817
-12.3139,0.994919,0.686378,1,1,0,12.4794,0.923935,0.0706877
-10.9209,1,1.03276,1,3,0,11.9738,0.886564,0.101879
-10.6175,1,1.56349,1,1,0,10.8387,0.866254,0.117968
-10.6175,0.0673244,2.35702,1,1,0,11.4771,0.866254,0.117968
-10.6705,0.937636,0.544269,1,3,0,11.6625,0.809317,0.160146
-10.6104,1,0.725196,2,3,0,10.6655,0.816595,0.15498
-10.5613,0.975689,1.09067,2,3,0,10.7055,0.859164,0.12345
-10.5822,0.994338,1.55709,1,3,0,10.5824,0.820679,0.152054
-10.5822,0.0024173,2.29818,1,1,0,11.1931,0.820679,0.152054
-10.51,0.999896,0.483981,2,5,0,10.5862,0.841979,0.136458
-10.8114,0.930207,0.723389,1,3,0,11.0254,0.88084,0.106473
-11.2089,0.888678,0.940858,2,3,0,11.8968,0.898033,0.0925319
-10.5432,0.969065,1.12657,1,3,0,10.9657,0.855986,0.125885
-11.1303,0.665233,1.57182,1,1,0,11.2172,0.895269,0.0948027
-12.5504,0.641179,1.22209,1,1,0,12.6377,0.927767,0.0673668
-10.7049,1,0.909635,1,3,0,12.3571,0.873902,0.111978
-10.7049,0.0310693,1.34101,2,3,0,14.8582,0.873902,0.111978
-11.1189,0.9862,0.31594,2,7,0,11.7783,0.773888,0.184414
-11.013,1,0.454359,1,1,0,11.1216,0.780833,0.179768
-10.51,1,0.668379,2,3,0,10.9421,0.842102,0.136366
-10.51,0.684052,0.979903,1,3,0,11.8318,0.842102,0.136366
-10.5537,0.989266,0.796462,1,3,0,10.572,0.85792,0.124405
-10.8046,0.907611,1.1401,1,1,0,10.8099,0.880448,0.106785
-10.8046,1.8203e-06,1.39995,1,1,0,13.0346,0.880448,0.106785
-10.647,0.982718,0.325026,2,7,0,11.9831,0.811986,0.158259
-10.6656,0.998406,0.459334,1,1,0,10.6705,0.809869,0.159757
-11.3408,0.903967,0.665999,2,3,0,11.7126,0.76068,0.193106
