ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,2/7/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1342
Trump,2/7/2024 12:00:00 AM,$0.44,$0.45,$0.44,$0.45,7552
Biden,2/7/2024 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,3314
Harris,2/7/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2590
Buttigieg,2/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Newsom,2/7/2024 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,2651
Ramaswamy,2/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,101
Scott,2/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/7/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,3193
Haley,2/7/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,16283
DeSantis,2/8/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,26399
Trump,2/8/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,32300
Biden,2/8/2024 12:00:00 AM,$0.47,$0.48,$0.42,$0.43,62831
Harris,2/8/2024 12:00:00 AM,$0.02,$0.06,$0.02,$0.05,59968
Buttigieg,2/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,2/8/2024 12:00:00 AM,$0.07,$0.12,$0.06,$0.10,24165
Ramaswamy,2/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Scott,2/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,2/8/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,5369
Haley,2/8/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,13591
DeSantis,2/9/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1244
